# log(M200)  pcc  
   12.538275     0.514555
   12.044622     0.992651
   12.076998     0.922436
   15.394556     0.846596
   14.697593     0.415053
   15.348012     0.516953
   12.897871     0.919393
   11.536824     0.795007
   14.613642     0.658191
   13.268459     0.988152
   12.538275     0.514555
   12.044622     0.992651
   12.076998     0.922436
   15.394556     0.846596
   14.583654     0.432577
   14.808643     0.596180
   13.524559     0.917069
   12.850134     0.699191
   13.832516     0.739562
   13.268459     0.988152
   12.698153     0.288071
   12.201183     0.992076
   12.076998     0.922436
   15.394556     0.846596
   14.493481     0.446446
   14.595632     0.650391
   13.524559     0.917069
   12.850134     0.699191
   13.131007     0.848148
   13.268459     0.988152
   12.698153     0.288071
   12.201183     0.992076
   12.076998     0.922436
   14.537123     0.668990
   14.197259     0.590326
   14.574999     0.609196
   13.524559     0.917069
   12.893025     0.713048
   13.131007     0.848148
   13.268459     0.988152
   12.698153     0.288071
   12.201183     0.992076
   12.465425     0.822768
   14.532816     0.667993
   14.197259     0.590326
   14.300735     0.689580
   13.524559     0.917069
   12.893025     0.713048
   13.296445     0.942066
   13.268459     0.988152
   12.698153     0.288071
   12.201183     0.992076
   12.785565     0.740621
   14.522923     0.670437
   13.683401     0.659295
   14.300735     0.689580
   13.524559     0.917069
   13.163738     0.643584
   13.288950     0.954408
   13.268459     0.988152
   12.725073     0.427442
   12.201183     0.992076
   12.785565     0.740621
   14.522923     0.670437
   13.683401     0.659295
   14.161028     0.701617
   13.520275     0.924023
   13.163738     0.643584
   13.288950     0.954408
   13.509440     0.918452
   13.022129     0.488369
   12.201183     0.992076
   12.785565     0.740621
   14.381934     0.676132
   13.726021     0.627408
   13.954731     0.725416
   13.520275     0.924023
   13.437013     0.573463
   13.288950     0.954408
   13.509440     0.918452
   13.022129     0.488369
   12.201183     0.992076
   12.785565     0.740621
   13.703708     0.582482
   13.726021     0.627408
   13.372963     0.732982
   13.520275     0.924023
   13.437013     0.573463
   13.288950     0.954408
   13.505740     0.924850
   13.104980     0.633079
   12.201183     0.992076
   12.785565     0.740621
   13.575395     0.640869
   13.726021     0.627408
   13.434744     0.822257
   13.520275     0.924023
   13.437013     0.573463
   13.332117     0.948522
   13.505740     0.924850
   13.104980     0.633079
   12.201183     0.992076
   12.785565     0.740621
   13.575395     0.640869
   13.673354     0.615805
   13.435623     0.829114
   13.520275     0.924023
   13.400550     0.555702
   13.332117     0.948522
   13.520989     0.924064
   13.274528     0.751860
   12.201183     0.992076
   12.911386     0.788482
   13.558137     0.645285
   13.673354     0.615805
   13.531693     0.875185
   13.525119     0.899697
   13.400550     0.555702
   13.332117     0.948522
   13.540737     0.821274
   13.318666     0.735273
   12.201183     0.992076
   12.911386     0.788482
   13.572497     0.524635
   13.717459     0.604520
   13.530041     0.881345
   13.525119     0.899697
   13.400550     0.555702
   13.332117     0.948522
   13.495487     0.803751
   13.321264     0.729576
   12.201183     0.992076
   13.554513     0.604117
   13.570396     0.580231
   13.717459     0.604520
   13.530041     0.881345
   13.560366     0.845604
   13.447566     0.640987
   13.524031     0.777197
   13.506747     0.793276
   13.321264     0.729576
   12.201183     0.992076
   13.546930     0.604098
   13.570396     0.580231
   13.717459     0.604520
   13.517431     0.896207
   13.582991     0.818939
   13.447566     0.640987
   13.535738     0.798052
   13.510716     0.794640
   13.321264     0.729576
   12.835084     0.907394
   13.550529     0.600437
   13.570396     0.580231
   13.651418     0.602905
   13.517431     0.896207
   13.598866     0.800229
   13.494533     0.617756
   13.570503     0.809151
   13.510716     0.794640
   13.337650     0.720347
   12.835084     0.907394
   13.550529     0.600437
   13.570396     0.580231
   13.651418     0.602905
   13.515624     0.898337
   13.592253     0.787506
   13.514025     0.615910
   13.610068     0.821784
   13.510716     0.794640
   13.337650     0.720347
   12.835084     0.907394
   13.520530     0.599704
   13.595485     0.490095
   13.651418     0.602905
   13.515624     0.898337
   13.564765     0.715529
   13.506902     0.620419
   13.610068     0.821784
   13.510716     0.794640
   13.394203     0.683039
   12.835084     0.907394
   13.520530     0.599704
   13.560158     0.542068
   13.508282     0.656294
   13.515624     0.898337
   13.573644     0.738780
   13.473987     0.668843
   13.610068     0.821784
   13.511264     0.819662
   13.394203     0.683039
   12.835084     0.907394
   13.508223     0.607823
   13.539496     0.686989
   13.512734     0.646492
   13.516439     0.848699
   13.617048     0.682502
   13.464482     0.674326
   13.610068     0.821784
   13.511264     0.819662
   13.340802     0.689660
   12.835084     0.907394
   13.564402     0.580362
   13.459590     0.688063
   13.515254     0.546600
   13.461187     0.798668
   13.617048     0.682502
   13.464482     0.674326
   13.574411     0.757568
   13.508725     0.805417
   13.417189     0.656772
