# log(M200)  pcc  
   13.800997     0.572748
   15.690793     0.711338
   12.423360     0.446294
   12.593599     0.717755
   14.714129     0.371712
   13.192743     0.339871
   14.975990     0.957746
   12.967207     0.949204
   13.988082     0.651070
   13.603475     0.516034
   13.800997     0.572748
   15.690793     0.711338
   12.423360     0.446294
   12.593599     0.717755
   14.714129     0.371712
   13.192743     0.339871
   14.975990     0.957746
   12.967207     0.949204
   13.822464     0.592921
   13.603475     0.516034
   13.800997     0.572748
   15.690793     0.711338
   12.423360     0.446294
   12.593599     0.717755
   14.523501     0.413681
   13.192743     0.339871
   14.975990     0.957746
   12.967207     0.949204
   13.822464     0.592921
   13.603475     0.516034
   13.800997     0.572748
   15.015719     0.668551
   12.423360     0.446294
   12.593599     0.717755
   14.523501     0.413681
   13.192743     0.339871
   13.977217     0.757629
   13.271363     0.742135
   13.822464     0.592921
   13.603475     0.516034
   13.800997     0.572748
   14.699863     0.634440
   12.375220     0.369531
   12.544412     0.714820
   14.523501     0.413681
   13.192743     0.339871
   13.977217     0.757629
   13.229023     0.755676
   13.822464     0.592921
   13.603475     0.516034
   13.800997     0.572748
   14.230722     0.580941
   12.340408     0.365379
   12.824628     0.731542
   14.413979     0.276586
   13.192743     0.339871
   13.977217     0.757629
   13.229023     0.755676
   13.822464     0.592921
   13.603475     0.516034
   13.800997     0.572748
   14.230722     0.580941
   12.340408     0.365379
   12.824628     0.731542
   14.413979     0.276586
   13.390565     0.333951
   13.876367     0.868704
   13.229023     0.755676
   13.822464     0.592921
   13.734553     0.432147
   13.800997     0.572748
   14.230722     0.580941
   12.203752     0.349795
   12.824628     0.731542
   14.244127     0.325207
   13.457178     0.386056
   13.876367     0.868704
   13.369376     0.696158
   13.747821     0.613393
   13.734553     0.432147
   13.800997     0.572748
   14.230722     0.580941
   12.610309     0.382457
   12.913323     0.786077
   14.244127     0.325207
   13.548990     0.457870
   13.848125     0.757806
   13.726123     0.648438
   13.747821     0.613393
   13.741129     0.446063
   13.800997     0.572748
   14.230722     0.580941
   12.561882     0.372626
   12.913323     0.786077
   14.244127     0.325207
   13.548990     0.457870
   13.848125     0.757806
   13.726123     0.648438
   13.838066     0.594718
   13.738880     0.389815
   13.800997     0.572748
   14.230722     0.580941
   12.561882     0.372626
   12.913323     0.786077
   14.250517     0.318226
   13.563131     0.473083
   13.848125     0.757806
   13.650409     0.580565
   13.922200     0.554344
   13.738880     0.389815
   13.739394     0.582102
   14.230722     0.580941
   12.551099     0.370566
   12.908471     0.788406
   14.213026     0.323472
   13.617705     0.506838
   13.773167     0.792458
   13.650409     0.580565
   13.990650     0.500005
   13.738880     0.389815
   13.739394     0.582102
   13.919130     0.535504
   12.517335     0.331090
   12.908471     0.788406
   13.857667     0.450119
   13.576949     0.546198
   13.773167     0.792458
   13.649760     0.580554
   14.001741     0.504165
   13.648888     0.344129
   13.729900     0.592697
   13.919130     0.535504
   12.517335     0.331090
   12.908471     0.788406
   13.857667     0.450119
   13.576949     0.546198
   13.691109     0.936912
   13.649760     0.580554
   14.001741     0.504165
   13.648888     0.344129
   13.729900     0.592697
   13.942616     0.526595
   12.410043     0.309309
   12.993670     0.768107
   13.841612     0.497044
   13.576949     0.546198
   13.691109     0.936912
   13.651342     0.588787
   13.924306     0.529384
   13.608946     0.368095
   13.785228     0.606803
   13.942616     0.526595
   12.410043     0.309309
   12.993670     0.768107
   13.841612     0.497044
   13.576044     0.546366
   13.682980     0.950174
   13.648085     0.571836
   13.909568     0.555082
   13.608946     0.368095
   13.785228     0.606803
   13.942616     0.526595
   12.410043     0.309309
   13.216961     0.701138
   13.841612     0.497044
   13.576044     0.546366
   13.682980     0.950174
   13.648085     0.571836
   13.796956     0.562298
   13.608946     0.368095
   13.693834     0.621975
   13.904988     0.529622
