# log(M200)  pcc  
   13.764154     0.676629
   14.210294     0.711573
   12.912408     0.791793
   14.557690     0.428332
   12.165306     0.966180
   15.571778     0.769554
   14.425004     0.330082
   14.567636     0.408885
   15.157878     0.751341
   13.423978     0.724464
   13.308994     0.915314
   14.210294     0.711573
   12.768158     0.746865
   14.557690     0.428332
   12.165306     0.966180
   15.571778     0.769554
   14.398264     0.377593
   14.567636     0.408885
   15.157878     0.751341
   13.423978     0.724464
   13.658174     0.892821
   13.975005     0.788813
   13.133192     0.664173
   14.557690     0.428332
   12.006082     0.974004
   15.571778     0.769554
   14.398264     0.377593
   14.567636     0.408885
   14.881011     0.739722
   13.921834     0.587086
   13.661256     0.894163
   14.185815     0.583999
   12.869826     0.684232
   14.357552     0.235580
   12.006082     0.974004
   15.571778     0.769554
   14.260328     0.352109
   14.567636     0.408885
   14.881011     0.739722
   14.062485     0.548275
   13.606194     0.901135
   14.019808     0.399568
   12.869826     0.684232
   14.331699     0.262978
   12.006082     0.974004
   15.571778     0.769554
   14.213547     0.398493
   14.567636     0.408885
   14.382764     0.802808
   14.062485     0.548275
   13.609761     0.901805
   14.019808     0.399568
   13.166313     0.650434
   14.331699     0.262978
   12.920345     0.772303
   15.571778     0.769554
   14.194603     0.353230
   14.567636     0.408885
   14.382764     0.802808
   14.062485     0.548275
   13.101420     0.966907
   14.019808     0.399568
   13.329741     0.631804
   14.381921     0.244491
   13.343611     0.781132
   15.571778     0.769554
   14.232309     0.328408
   14.567636     0.408885
   14.390405     0.801829
   14.692708     0.344134
   13.101420     0.966907
   13.936133     0.465707
   13.329741     0.631804
   14.373882     0.249026
   13.356843     0.923591
   15.571778     0.769554
   14.279502     0.469728
   14.591203     0.396684
   14.390405     0.801829
   14.692708     0.344134
   13.101420     0.966907
   14.153816     0.357957
   13.329741     0.631804
   14.373882     0.249026
   13.356843     0.923591
   15.186376     0.680135
   14.652563     0.286217
   14.593590     0.395770
   14.390405     0.801829
   14.692708     0.344134
   13.101420     0.966907
   14.002039     0.361850
   12.546553     0.680863
   14.373882     0.249026
   13.356843     0.923591
   15.186376     0.680135
   14.809760     0.208891
   14.593590     0.395770
   14.514588     0.557587
   14.692708     0.344134
   13.101420     0.966907
   14.100362     0.332017
   12.272091     0.598646
   14.373882     0.249026
   13.919885     0.724785
   15.186376     0.680135
   14.748193     0.262116
   14.593590     0.395770
   14.539829     0.505887
   14.692708     0.344134
   13.101420     0.966907
   14.100362     0.332017
   11.116600     0.755690
   14.373882     0.249026
   14.193594     0.721767
   15.186376     0.680135
   14.748193     0.262116
   14.570739     0.380507
   14.539829     0.505887
   14.692708     0.344134
   13.101420     0.966907
   14.021595     0.343201
   11.116600     0.755690
   14.346838     0.240959
   14.330107     0.636650
   14.963561     0.528482
   14.748193     0.262116
   14.570739     0.380507
   14.515044     0.521340
   14.692708     0.344134
   13.101420     0.966907
   14.342691     0.297608
   11.116600     0.755690
   14.374375     0.401577
   14.412271     0.622620
   14.963561     0.528482
   14.750511     0.259538
   14.648565     0.261601
   14.459172     0.583461
   14.581996     0.268781
   13.101420     0.966907
   14.342691     0.297608
   11.116600     0.755690
   14.378705     0.415787
   14.494262     0.497351
   14.963561     0.528482
   14.749022     0.259568
   14.655344     0.260943
   14.444405     0.619699
   14.612798     0.265070
   13.101420     0.966907
   14.590037     0.389585
   11.116600     0.755690
   14.378705     0.415787
   14.519809     0.531018
   14.963561     0.528482
   14.602459     0.322490
   14.655344     0.260943
   14.549689     0.440636
   14.612798     0.265070
   13.353490     0.852389
   14.616210     0.338030
   11.809608     0.658801
   14.470493     0.377515
   14.519809     0.531018
   14.963561     0.528482
   14.602459     0.322490
   14.655344     0.260943
   14.536797     0.456948
   14.612798     0.265070
   14.354857     0.977951
   14.616210     0.338030
   11.809608     0.658801
   14.453813     0.325595
   14.519809     0.531018
   14.963561     0.528482
   14.601488     0.327884
   14.655344     0.260943
   14.536797     0.456948
   14.612798     0.265070
   14.354857     0.977951
   14.616210     0.338030
   11.809608     0.658801
   14.432997     0.317310
   14.521900     0.530628
   14.963561     0.528482
   14.750672     0.410536
   14.655344     0.260943
   14.482713     0.537938
   14.612798     0.265070
   14.354857     0.977951
   14.616210     0.338030
   11.937244     0.640957
   14.441754     0.356172
   14.527578     0.485392
   14.963561     0.528482
   14.750672     0.410536
   14.655344     0.260943
   14.507291     0.647013
   14.588605     0.267417
   14.417392     0.888305
   14.463278     0.363962
   13.080254     0.598476
   14.551201     0.392314
   14.527578     0.485392
   14.963561     0.528482
   14.750672     0.410536
   14.655344     0.260943
   14.481800     0.763937
   14.595142     0.244068
   14.451155     0.764844
   14.471948     0.359312
   13.202044     0.624874
   14.579233     0.356953
   14.527578     0.485392
   14.963561     0.528482
   14.830142     0.306081
   14.655344     0.260943
   14.481800     0.763937
   14.583835     0.284456
   14.340103     0.861796
   14.471948     0.359312
   12.492295     0.762950
   14.438969     0.231086
   14.253270     0.522800
   14.746470     0.507026
   14.830142     0.306081
   14.655344     0.260943
   14.484312     0.761499
   14.580594     0.296190
   14.262771     0.915581
   14.486647     0.344755
   12.838695     0.668308
   14.438969     0.231086
   14.253270     0.522800
   14.654305     0.424320
   14.341072     0.395038
   14.655344     0.260943
   14.625581     0.663246
   14.549925     0.282092
   14.262771     0.915581
   14.655687     0.214862
   13.007702     0.697654
   14.438969     0.231086
   14.223362     0.547068
   14.654305     0.424320
   14.394754     0.366008
   14.649452     0.340577
   14.625581     0.663246
   14.549925     0.282092
   14.296879     0.773556
   14.652636     0.276371
   11.452848     0.730722
   14.427482     0.233183
   14.214093     0.556859
   14.654305     0.424320
   14.359488     0.378265
   14.631179     0.320030
   14.394667     0.668157
   14.536274     0.213319
   14.243734     0.830837
   14.592805     0.264895
   11.452848     0.730722
   14.523517     0.282096
   14.352540     0.409234
   14.705174     0.374616
   14.212890     0.449499
   14.615813     0.297953
   14.379949     0.684020
   14.533377     0.210676
   14.234100     0.711734
   14.567200     0.271251
   11.452848     0.730722
   14.523517     0.282096
   14.334719     0.410984
   14.705174     0.374616
   14.212890     0.449499
   14.615813     0.297953
   14.424670     0.546053
   14.533377     0.210676
   14.129990     0.802247
   14.592080     0.265075
   11.452848     0.730722
   14.503637     0.287031
   14.297776     0.355509
   14.696358     0.380926
   14.212890     0.449499
   14.615813     0.297953
   14.424670     0.546053
   14.533377     0.210676
   14.080450     0.839100
   14.592080     0.265075
   11.452848     0.730722
   14.392853     0.233057
   14.199336     0.385758
   14.764420     0.380264
   14.404623     0.429963
   14.624795     0.307206
   14.506258     0.476594
   14.513397     0.213859
   14.080450     0.839100
   14.592080     0.265075
   12.317917     0.602405
   14.392853     0.233057
   14.105414     0.365533
   14.678750     0.397238
   14.352032     0.431044
   14.624795     0.307206
   14.526192     0.427464
   14.507945     0.210310
   14.101847     0.806952
   14.605456     0.232107
   12.631152     0.546647
   14.392853     0.233057
   14.105414     0.365533
   14.691945     0.417358
   14.394987     0.418672
   14.624795     0.307206
   14.547593     0.374718
   14.507945     0.210310
   14.085115     0.829114
   14.605456     0.232107
   11.670901     0.664615
   14.392853     0.233057
   14.016768     0.389186
   14.691945     0.417358
   14.394207     0.350839
   14.621029     0.292582
   14.547593     0.374718
   14.507945     0.210310
   14.071239     0.739799
   14.605456     0.232107
   11.670901     0.664615
   14.215058     0.233851
   14.221903     0.356391
   14.702513     0.425355
   14.491439     0.296190
   14.621029     0.292582
   14.571555     0.381796
   14.473910     0.252362
   14.027971     0.780918
   14.605456     0.232107
   11.670901     0.664615
   14.419987     0.314361
   14.384414     0.356169
   14.702513     0.425355
   14.519663     0.289012
   14.646235     0.333654
   14.552050     0.355940
   14.473910     0.252362
   13.983036     0.834398
   14.641311     0.226800
   11.759055     0.653384
   14.514945     0.201345
   14.382012     0.358992
   14.650264     0.401251
   14.576875     0.309191
   14.631664     0.335051
   14.552050     0.355940
   14.466953     0.248523
   13.983036     0.834398
   14.641311     0.226800
   11.759055     0.653384
   14.514945     0.201345
   14.537399     0.372263
   14.652703     0.448767
   14.568640     0.294849
   14.734551     0.389101
   14.552050     0.355940
   14.466953     0.248523
   13.978987     0.837803
   14.641311     0.226800
   12.588795     0.594711
   14.514945     0.201345
   14.562815     0.349770
   14.671339     0.567184
   14.568640     0.294849
   14.653202     0.382154
   14.628038     0.292045
   14.494722     0.297299
   13.950765     0.856876
   14.641311     0.226800
   13.223504     0.522370
   14.534603     0.205305
   14.585370     0.367151
   14.629234     0.455532
   14.527154     0.252019
   14.653202     0.382154
   14.618906     0.336932
   14.471214     0.269646
   13.950765     0.856876
   14.641311     0.226800
   12.423397     0.689168
   14.534603     0.205305
   14.646817     0.412676
   14.629234     0.455532
   14.527154     0.252019
   14.654425     0.382424
   14.638760     0.355307
   14.463852     0.277118
   14.011028     0.796084
   14.641311     0.226800
   11.092386     0.854685
   14.586337     0.215726
   14.646817     0.412676
   14.619964     0.437051
   14.505968     0.223574
   14.654425     0.382424
   14.632770     0.312651
   14.463852     0.277118
   14.092831     0.702332
   14.641311     0.226800
   11.092386     0.854685
   14.586337     0.215726
   14.646817     0.412676
   14.633002     0.416384
   14.505968     0.223574
   14.655467     0.378278
   14.622117     0.310410
   14.463852     0.277118
   13.794433     0.996558
   14.641311     0.226800
   11.092386     0.854685
   14.586337     0.215726
   14.632932     0.414403
   14.618439     0.441084
   14.567369     0.225038
   14.655467     0.378278
   14.622117     0.310410
   14.515972     0.304634
   13.925812     0.907994
   14.647172     0.201270
   11.092386     0.854685
   14.586337     0.215726
   14.628751     0.421106
   14.618439     0.441084
   14.550095     0.233518
   14.655467     0.378278
   14.622117     0.310410
   14.515972     0.304634
   13.925812     0.907994
   14.647172     0.201270
   11.092386     0.854685
   14.586337     0.215726
   14.611353     0.379613
   14.620748     0.461107
   14.550095     0.233518
   14.681207     0.390506
   14.608786     0.275133
   14.498429     0.303679
   13.925812     0.907994
   14.630951     0.232483
   11.092386     0.854685
   14.603793     0.247887
   14.611353     0.379613
   14.620748     0.461107
   14.550095     0.233518
   14.681207     0.390506
   14.603588     0.285135
   14.471598     0.290933
   13.925812     0.907994
   14.628488     0.287678
   11.965883     0.703738
   14.603793     0.247887
   14.618420     0.341694
   14.585396     0.438676
   14.522766     0.263044
   14.705315     0.434921
   14.561442     0.291420
   14.392924     0.316551
   13.925812     0.907994
   14.936678     0.239520
   11.578950     0.765204
   14.547921     0.302286
   14.653708     0.372829
   14.205606     0.477106
   14.551332     0.251272
   14.579670     0.445527
   14.561442     0.291420
   14.575742     0.290652
   14.078900     0.758942
   14.881698     0.247309
   11.578950     0.765204
   14.546098     0.299211
   14.631960     0.353640
   14.205606     0.477106
   14.457555     0.352043
   14.613272     0.412534
   14.561442     0.291420
   14.744229     0.263972
   14.078900     0.758942
   14.881698     0.247309
   11.279735     0.812586
   14.355823     0.333053
   14.560018     0.374474
   14.098878     0.525520
   14.382251     0.396977
   14.613272     0.412534
   14.570740     0.290139
   14.744229     0.263972
   14.061643     0.771433
   14.881698     0.247309
   11.279735     0.812586
   14.355823     0.333053
   14.651394     0.344543
   14.200524     0.484324
   14.384847     0.403254
   14.451475     0.517419
   14.587595     0.258020
   14.744229     0.263972
   14.171832     0.701008
   14.881698     0.247309
   11.279735     0.812586
   14.355823     0.333053
   14.651394     0.344543
   14.110731     0.520716
   14.384847     0.403254
   14.409576     0.553650
   14.587595     0.258020
   14.643808     0.350897
   14.223538     0.853580
   14.688269     0.280494
   11.431285     0.792608
   14.377097     0.333880
   14.640950     0.330532
   14.092106     0.465758
   14.380978     0.368625
   14.469172     0.560218
   14.590615     0.263010
   14.588372     0.417343
   14.213256     0.866259
   14.688269     0.280494
   11.431285     0.792608
   14.391394     0.329135
   14.640950     0.330532
   14.054484     0.354743
   14.098426     0.449662
   14.469172     0.560218
   14.590615     0.263010
   14.691989     0.293146
   14.213256     0.866259
   14.688725     0.282045
   11.431285     0.792608
   14.275724     0.342983
   14.640950     0.330532
   14.054484     0.354743
   14.035656     0.221935
   14.643434     0.351825
   14.726861     0.217788
   14.691989     0.293146
   14.391501     0.650731
   14.688725     0.282045
   11.290401     0.813558
   14.275724     0.342983
   14.499312     0.336380
   14.054484     0.354743
   14.035656     0.221935
   14.643434     0.351825
   14.584119     0.257400
   14.690740     0.288900
   14.226679     0.659385
